length,local_mode,feature_set,knn_mi_bits,perm_p,perm_mean_bits,subsample_mean_bits,subsample_ci_low,subsample_ci_high,n_rows,k_neighbors
69,center,dK,0.5303001603352557,0.009900990099009901,0.011282628804544028,0.5346490808125007,0.5034657663300974,0.5730979052348542,500,5
69,center,dP,0.4545163141699822,0.009900990099009901,0.01616001265490244,0.4443651143992209,0.40257983187363183,0.4801597580483068,500,5
69,center,dM,0.5702598322703973,0.009900990099009901,0.013028461190548995,0.5660292515949625,0.5298953150178471,0.6093856949634453,500,5
69,center,dP_dM,0.7477522080335771,0.009900990099009901,0.010957525271689712,0.7439032344045928,0.709283555731808,0.7794747428416026,500,5
69,center,dK_dP,0.6841831376034264,0.009900990099009901,0.009648889574719504,0.6737853135236134,0.6373754824595982,0.7150979355447437,500,5
69,center,dK_dM,0.7804853584256387,0.009900990099009901,0.009389557479801478,0.7790315777093304,0.7484447386396842,0.8122802666668226,500,5
69,center,dK_dP_dM,0.8220544092131762,0.009900990099009901,0.00974495570407932,0.8184560959382062,0.795163339889227,0.8524562635191264,500,5
69,center,increment_dP_dM_given_dK,0.29175424887792045,,,,,,500,5
69,jittered,dK,0.4640041428161971,0.009900990099009901,0.00877717172498866,0.46588639328658893,0.420942192600605,0.5237589691552875,500,5
69,jittered,dP,0.46206038086471984,0.009900990099009901,0.017576869149007822,0.45906601096549515,0.41551464548463146,0.5014608360421101,500,5
69,jittered,dM,0.45101146133991066,0.009900990099009901,0.01288563463009252,0.4691358567962422,0.43016359833224255,0.49960386456985856,500,5
69,jittered,dP_dM,0.6641619480863808,0.009900990099009901,0.01026480094270832,0.6616908815765179,0.6163064602918613,0.7117000476653124,500,5
69,jittered,dK_dP,0.6253241432365643,0.009900990099009901,0.012754524866499693,0.6302154699014367,0.5822360591963571,0.6732688971850124,500,5
69,jittered,dK_dM,0.6482234473075515,0.009900990099009901,0.010549802777426233,0.6506871891798219,0.6149745304147246,0.6942568115932968,500,5
69,jittered,dK_dP_dM,0.7340212884383162,0.009900990099009901,0.009400715931758227,0.7205259667608119,0.6911777749026006,0.7605540991075277,500,5
69,jittered,increment_dP_dM_given_dK,0.27001714562211904,,,,,,500,5
69,left,dK,0.5184575310902941,0.009900990099009901,0.011436170256033652,0.5239312721641887,0.4793083818417085,0.5755621596783107,500,5
69,left,dP,0.3764112892364137,0.009900990099009901,0.022003864526348203,0.3915436424566462,0.3552411682685347,0.4279802802079272,500,5
69,left,dM,0.5383275570307684,0.009900990099009901,0.008757836582307929,0.5136545676931399,0.4735804002659592,0.5644469683852711,500,5
69,left,dP_dM,0.7181262603900537,0.009900990099009901,0.01153867089002049,0.7068224539551838,0.6709021458775208,0.7433913460064118,500,5
69,left,dK_dP,0.6641575842835006,0.009900990099009901,0.009379824453600792,0.661961845129906,0.6241889167775825,0.7035232034078025,500,5
69,left,dK_dM,0.7262844490379022,0.009900990099009901,0.008434834722051513,0.7250443314769341,0.6891741664298601,0.7538691465440565,500,5
69,left,dK_dP_dM,0.7738112875478425,0.009900990099009901,0.010546255111335166,0.7714989160304266,0.7443088716414109,0.8043042271808412,500,5
69,left,increment_dP_dM_given_dK,0.2553537564575483,,,,,,500,5
69,right,dK,0.4325454975329174,0.009900990099009901,0.011610409969248687,0.43755708839986873,0.40304413216609064,0.48427677402643543,500,5
69,right,dP,0.34853203701953206,0.009900990099009901,0.016722815469409607,0.3653031057832543,0.3300393843402115,0.4062895708619288,500,5
69,right,dM,0.6182298867059874,0.009900990099009901,0.008483562559800978,0.6273378224072739,0.5887252313267997,0.6689231288242707,500,5
69,right,dP_dM,0.785754298949318,0.009900990099009901,0.0113312391205402,0.7704435465236266,0.7443956559038591,0.7998371748054113,500,5
69,right,dK_dP,0.5979855632604115,0.009900990099009901,0.00856634575142575,0.5942632763017159,0.5593418028883261,0.6289405814440933,500,5
69,right,dK_dM,0.7211659240782109,0.009900990099009901,0.00997364546689259,0.7106602943574365,0.6811314662320801,0.7504448351308421,500,5
69,right,dK_dP_dM,0.7968260622970093,0.009900990099009901,0.00750264557956495,0.776882701628519,0.7484392960996232,0.8073356110709222,500,5
69,right,increment_dP_dM_given_dK,0.3642805647640919,,,,,,500,5
100,center,dK,0.7991300895764211,0.009900990099009901,0.009833749218612324,0.7989659493812995,0.7686759707868025,0.8390596763390923,500,5
100,center,dP,0.42551581948435074,0.009900990099009901,0.008764794233821802,0.42364452812284137,0.3937199148571239,0.4638622532573558,500,5
100,center,dM,0.47761638282153224,0.009900990099009901,0.009964923151252612,0.48391377573158295,0.4476949725255276,0.5248143336638172,500,5
100,center,dP_dM,0.677388914211347,0.009900990099009901,0.012969803325182818,0.6710261911399532,0.6425025278467162,0.6964945464230412,500,5
100,center,dK_dP,0.8968741569997891,0.009900990099009901,0.009019520113266559,0.8904975101060281,0.8697104952290884,0.9216384683243144,500,5
100,center,dK_dM,0.8598412405733994,0.009900990099009901,0.008003050350462481,0.8565610088451172,0.8301797578011357,0.8861546575760985,500,5
100,center,dK_dP_dM,0.8861328146726031,0.009900990099009901,0.009284896378692497,0.8826399573613456,0.8599848002885482,0.9043166636114953,500,5
100,center,increment_dP_dM_given_dK,0.08700272509618201,,,,,,500,5
100,jittered,dK,0.8512885902126164,0.009900990099009901,0.011996133407566027,0.8558563007719759,0.8251302809139621,0.8964815544922974,500,5
100,jittered,dP,0.4755561352998774,0.009900990099009901,0.01198297981181283,0.47316218500157786,0.44042324721914894,0.5081365575854881,500,5
100,jittered,dM,0.618798682275521,0.009900990099009901,0.011860431981887165,0.6161681477843619,0.5732078113296628,0.6694741828895029,500,5
100,jittered,dP_dM,0.7095087139662263,0.009900990099009901,0.006922738264675721,0.6924885478739362,0.6529592133226603,0.7336324061096887,500,5
100,jittered,dK_dP,0.9098011895864463,0.009900990099009901,0.008507980813264947,0.914019652406945,0.8945801749301451,0.9422176329731228,500,5
100,jittered,dK_dM,0.9367987952342736,0.009900990099009901,0.010422628339906767,0.9383571245429876,0.9231016978522114,0.9566444080865772,500,5
100,jittered,dK_dP_dM,0.9481208918114704,0.009900990099009901,0.008628285205311122,0.9457935871772146,0.9330582803930447,0.9633582691917658,500,5
100,jittered,increment_dP_dM_given_dK,0.09683230159885403,,,,,,500,5
100,left,dK,0.7955052858771026,0.009900990099009901,0.008189220271729102,0.7979580840322826,0.7593461330272309,0.8337360294923661,500,5
100,left,dP,0.4076471450963627,0.009900990099009901,0.010813454100495438,0.40881949761412595,0.373641979328932,0.45134528422379216,500,5
100,left,dM,0.39858482567874565,0.009900990099009901,0.00975951729365648,0.4103417539931006,0.3699444974255712,0.4523456481412207,500,5
100,left,dP_dM,0.713737560136346,0.009900990099009901,0.009159156963244331,0.7106748871856968,0.6779560271956884,0.7416049840628411,500,5
100,left,dK_dP,0.9017306443183328,0.009900990099009901,0.010430474972326218,0.9022530089413385,0.8808462337627918,0.9309175012352942,500,5
100,left,dK_dM,0.8989827385172839,0.009900990099009901,0.010914080543950044,0.8988286920736697,0.8784539368544391,0.9296130264647949,500,5
100,left,dK_dP_dM,0.9332533304624717,0.009900990099009901,0.011272596511970845,0.932968891175658,0.9169180367083152,0.9535757237845875,500,5
100,left,increment_dP_dM_given_dK,0.13774804458536916,,,,,,500,5
100,right,dK,0.8516614047159511,0.009900990099009901,0.008391784158267862,0.8520065680906392,0.8304918030402917,0.8848607674828384,500,5
100,right,dP,0.47705395627390523,0.009900990099009901,0.010879435974816873,0.4867969640167302,0.4508891085885962,0.5204299916070204,500,5
100,right,dM,0.4354887701332216,0.009900990099009901,0.010141183304861754,0.4401520768509144,0.40543411412165986,0.48299870101835,500,5
100,right,dP_dM,0.7671859326193158,0.009900990099009901,0.00921076960624124,0.7582594814900716,0.7300985248324793,0.7891901143268624,500,5
100,right,dK_dP,0.8932046212202672,0.009900990099009901,0.011693651809699748,0.8954636982024831,0.8748701580025391,0.9226608634795378,500,5
100,right,dK_dM,0.9000389294063417,0.009900990099009901,0.010524188370288718,0.8980705816880371,0.8790903316988324,0.9192071050164966,500,5
100,right,dK_dP_dM,0.9212028997857004,0.009900990099009901,0.007912892481457743,0.917871474961053,0.9027402715855842,0.9385173617109794,500,5
100,right,increment_dP_dM_given_dK,0.06954149506974927,,,,,,500,5
150,center,dK,0.9420807685923335,0.009900990099009901,0.007558953683770246,0.9475096955625361,0.9300774466598464,0.9699808747053262,500,5
150,center,dP,0.38926208829782455,0.009900990099009901,0.014311576630451848,0.39770443139518136,0.3627314449017535,0.4342748446519758,500,5
150,center,dM,0.39012358173853484,0.009900990099009901,0.009083396597917905,0.3845352885659283,0.3530950342424294,0.42603485714377304,500,5
150,center,dP_dM,0.703360801336805,0.009900990099009901,0.008512708720375463,0.6765235938427476,0.6450863470201396,0.7184290498162827,500,5
150,center,dK_dP,0.9420254819149729,0.009900990099009901,0.008575436494711397,0.9452203477980524,0.9281484211200168,0.9683478926488772,500,5
150,center,dK_dM,0.9677894052388164,0.009900990099009901,0.00863955685796937,0.968499071205305,0.9580928761388666,0.9821457675203351,500,5
150,center,dK_dP_dM,0.9630271188880546,0.009900990099009901,0.008351728728753598,0.9647969831233675,0.9524949826368516,0.9797918083945931,500,5
150,center,increment_dP_dM_given_dK,0.020946350295721117,,,,,,500,5
150,jittered,dK,0.9263846224128917,0.009900990099009901,0.010107951101008324,0.926824403644665,0.9100326798603974,0.9533622002562349,500,5
150,jittered,dP,0.43517865148770074,0.009900990099009901,0.011967211362828856,0.43540748309320876,0.38786344501456055,0.4781874922224809,500,5
150,jittered,dM,0.45154246642928275,0.009900990099009901,0.010206024934918423,0.46141694607079026,0.4134979193410198,0.5029015136198953,500,5
150,jittered,dP_dM,0.7399583608983018,0.009900990099009901,0.010587852548186616,0.7304355188220633,0.6977949901834343,0.7640648949825379,500,5
150,jittered,dK_dP,0.9464995161148869,0.009900990099009901,0.010021003962283668,0.9467084983501196,0.9346769110082982,0.9642426604367026,500,5
150,jittered,dK_dM,0.9668738288883811,0.009900990099009901,0.009351734824856399,0.9651900977551636,0.9547696799406453,0.9820675283592328,500,5
150,jittered,dK_dP_dM,0.9451995790528815,0.009900990099009901,0.009211292490980431,0.9471762927001504,0.9346642385038273,0.9662476948061496,500,5
150,jittered,increment_dP_dM_given_dK,0.018814956639989888,,,,,,500,5
150,left,dK,0.9673657749272355,0.009900990099009901,0.007426479416199195,0.9666887026475807,0.9553395592918174,0.9901099935956347,500,5
150,left,dP,0.3621809186266096,0.009900990099009901,0.010564485545145568,0.3630720664985735,0.32694118855778015,0.3992899983558261,500,5
150,left,dM,0.3224096286788888,0.009900990099009901,0.009637264840239084,0.32702089117885946,0.28085506420301254,0.36440123177915934,500,5
150,left,dP_dM,0.7009580418409701,0.009900990099009901,0.011231092173947356,0.6896144575237916,0.65955061190011,0.7224274703284859,500,5
150,left,dK_dP,0.9718244389156815,0.009900990099009901,0.008544396786888408,0.9711558528706441,0.9627228948651251,0.9854779108978439,500,5
