retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
1.0,0.9733384481198889,0.8906771579674361,0.14247538767270804,0.4675956343847766,0.38261318110092474,1.0,50,substitution_1pct,ck4,CK4,420,136
0.638095238095238,0.9999790222324044,0.9999008107396982,0.0038023667399824513,0.014084662817433362,1.955469056994349e-05,0.6047619047619047,50,substitution_1pct,p,P,420,11
1.0,0.9998835378006279,0.9995130021818145,0.009351555889594614,0.03120884756411455,0.002160292256243213,1.0,50,substitution_1pct,msp,MSP,420,75
1.0,0.9866587351761466,0.9453073830891261,0.10078769914743374,0.33073437510251036,0.19208040564748974,1.0,50,substitution_1pct,ck4_p,CK4+P,420,147
1.0,0.9866109929602584,0.9451538951294558,0.10098597868449062,0.331198112414198,0.19523420567788674,1.0,50,substitution_1pct,ck4_msp,CK4+MSP,420,211
1.0,0.999931280016516,0.999718819272133,0.007171779567441719,0.023714104516198938,0.0012449773909239178,1.0,50,substitution_1pct,p_msp,P+MSP,420,86
1.0,0.9910670027176404,0.9634151328232425,0.08248918452498248,0.27049901259217396,0.13063462776239002,1.0,50,substitution_1pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9452561168050533,0.9216688399728219,0.3267011130648127,0.3958058904229795,0.3633903317522691,1.0,50,N_3pct,ck4,CK4,420,136
0.030952380952380953,0.9964964938356405,0.9957741802472584,0.0836111996444018,0.09193279852632485,-0.0005770178775287253,0.030952380952380953,50,N_3pct,p,P,420,11
0.9047619047619048,0.9980102590112846,0.9958677967538795,0.06163975350555321,0.09090798083672452,0.0015372740862556254,0.9047619047619048,50,N_3pct,msp,MSP,420,75
1.0,0.970876305320347,0.9590329487233822,0.23872438100877735,0.28624133531005824,0.18262534186462256,1.0,50,N_3pct,ck4_p,CK4+P,420,147
1.0,0.971633187908169,0.9600582462456083,0.2354851404813391,0.28263662342962614,0.1856126970731817,1.0,50,N_3pct,ck4_msp,CK4+MSP,420,211
0.85,0.9972533764234627,0.9960841770264371,0.0738210092226734,0.08849658706545588,0.0007905804913144658,0.85,50,N_3pct,p_msp,P+MSP,420,86
1.0,0.9799209565506596,0.9722445032184373,0.19843117644954603,0.2356076941994758,0.12436175095767432,1.0,50,N_3pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9634474401953953,0.9516619028617725,0.2684068559841499,0.3109279567302595,0.3761590050457518,1.0,50,trim_5bp,ck4,CK4,420,136
0.2119047619047619,0.9998866351954485,0.99973711470529,0.01441559165107905,0.022929638749928455,-2.0794353258759187e-05,0.20952380952380953,50,trim_5bp,p,P,420,11
0.5642857142857143,0.9977263631210269,0.9954706469726771,0.0655635818793161,0.09517723398232922,0.00031674806882905595,0.5642857142857143,50,trim_5bp,msp,MSP,420,75
1.0,0.9816670376954219,0.9757752435074588,0.19009850151306076,0.22011250017957296,0.18876916876529526,1.0,50,trim_5bp,ck4_p,CK4+P,420,147
1.0,0.980586901658211,0.9745472437678223,0.19577082118696845,0.22562241312568188,0.19106457808997537,1.0,50,trim_5bp,ck4_msp,CK4+MSP,420,211
0.65,0.9988064991582378,0.9976384631523574,0.047567854860693565,0.0687246220678599,0.00029913924910142533,0.65,50,trim_5bp,p_msp,P+MSP,420,86
1.0,0.9870201461706234,0.9829700970376276,0.16008658360066266,0.1845529527994083,0.12782373437237343,1.0,50,trim_5bp,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9167542191327784,0.828601386868011,0.39395218982630337,0.5854884609064354,0.3348315387189438,1.0,50,substitution_1pct_N_3pct,ck4,CK4,420,136
0.04047619047619048,0.9964622222943577,0.995702522203126,0.08399764881313701,0.09270898112200032,-0.0006071390178285048,0.0380952380952381,50,substitution_1pct_N_3pct,p,P,420,11
0.9166666666666666,0.9979169183201783,0.9957340986380573,0.06303370308802536,0.0923674246625839,0.0015150865995449453,0.9166666666666666,50,substitution_1pct_N_3pct,msp,MSP,420,75
1.0,0.9566082207135679,0.912387597686596,0.2852956233158371,0.4185982964023079,0.16837843674501374,1.0,50,substitution_1pct_N_3pct,ck4_p,CK4+P,420,147
1.0,0.9573355687264782,0.9131762355423092,0.2825435135985599,0.4167101121313241,0.17129339604300456,1.0,50,substitution_1pct_N_3pct,ck4_msp,CK4+MSP,420,211
0.8166666666666667,0.9971895703072678,0.9960379861870721,0.07465051819320616,0.0890170061060891,0.0007567282432096299,0.8166666666666667,50,substitution_1pct_N_3pct,p_msp,P+MSP,420,86
1.0,0.9703777865824381,0.9409977133011104,0.23609036229987998,0.3435175722736085,0.11481647686921514,1.0,50,substitution_1pct_N_3pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.8733109595466314,0.8243962230020405,0.49919209026347594,0.5926276684213048,0.29609431749007004,1.0,50,local_mismatch_6bp,ck4,CK4,420,136
0.07142857142857142,0.9997523980572279,0.9992508125702343,0.01979885976927987,0.03870884674267869,-0.00020858019271919142,0.06904761904761905,50,local_mismatch_6bp,p,P,420,11
0.7595238095238095,0.9984271175834439,0.9958193059302206,0.051092015658301494,0.09144039248860093,0.0008724609786868091,0.7595238095238095,50,local_mismatch_6bp,msp,MSP,420,75
1.0,0.9365316788019297,0.9121450790774039,0.35333655089933175,0.4191775696085736,0.14859649842850842,1.0,50,local_mismatch_6bp,ck4_p,CK4+P,420,147
1.0,0.9358690385650378,0.9118779254393962,0.35519902625300515,0.4198141738550355,0.15130441860017377,1.0,50,local_mismatch_6bp,ck4_msp,CK4+MSP,420,211
0.7619047619047619,0.9990897578203357,0.9976489359738432,0.03891347771196618,0.06857166125105857,0.0004963524065665251,0.7619047619047619,50,local_mismatch_6bp,p_msp,P+MSP,420,86
1.0,0.9571634917291011,0.9412404677250792,0.29030500884600335,0.3428102929960085,0.10122359589567824,1.0,50,local_mismatch_6bp,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9780448590282433,0.9158337910556108,0.13248214258641652,0.41028211449097973,0.386485922580288,1.0,50,short_indel,ck4,CK4,420,136
0.7452380952380953,0.9999917547377977,0.9999687468875118,0.002551322317559379,0.007906086911483666,3.172184877883627e-05,0.7119047619047619,50,short_indel,p,P,420,11
1.0,0.9998460410441652,0.9993850146132918,0.011053087435546486,0.03507085139882007,0.0021568893127878568,1.0,50,short_indel,msp,MSP,420,75
1.0,0.9890183068830204,0.9579045208753734,0.0936989248259436,0.29015591403867397,0.1939775644918211,1.0,50,short_indel,ck4_p,CK4+P,420,147
1.0,0.9889454500362044,0.9574194147317453,0.0940762175905297,0.2918233293829984,0.1970798054926503,1.0,50,short_indel,ck4_msp,CK4+MSP,420,211
1.0,0.9999188978909814,0.9996815761161519,0.008053503005658741,0.025235711137822907,0.0012500682143555498,1.0,50,short_indel,p_msp,P+MSP,420,86
