sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features,density,avg_nnz_per_read
L69_center_00000,69,center,ck4,0.9252126882606606,0.9588138399041999,0.3867487860080217,0.2870057842476352,-0.09974300176038653,0.7420987334183443,136,0.38194117647058823,51.944
L69_center_00001,69,center,ck4,0.9085863198007662,0.9412416106700232,0.42758316196789975,0.34280720333731785,-0.0847759586305819,0.8017322332329205,136,0.38194117647058823,51.944
L69_center_00002,69,center,ck4,0.9363821838346238,0.9487405839596902,0.3567010405518228,0.3201856212896195,-0.03651541926220325,0.8976301857552385,136,0.38194117647058823,51.944
L69_center_00003,69,center,ck4,0.9144544011878623,0.9574875494790559,0.4136317173818702,0.291590296549608,-0.12204142083226222,0.7049514925868415,136,0.38194117647058823,51.944
L69_center_00004,69,center,ck4,0.908105967496613,0.943879807448539,0.4287051026134091,0.3350229620532333,-0.09368214056017582,0.7814764975058974,136,0.38194117647058823,51.944
L69_center_00005,69,center,ck4,0.9223780407186631,0.9408131112738742,0.39401004880925755,0.3440549047059948,-0.04995514410326274,0.8732135277914034,136,0.38194117647058823,51.944
L69_center_00006,69,center,ck4,0.9214064786997644,0.9370189619999117,0.39646821133663623,0.35491136358276315,-0.04155684775387308,0.8951823965564097,136,0.38194117647058823,51.944
L69_center_00007,69,center,ck4,0.9412593382033789,0.9641100542579732,0.34275548659830724,0.26791769535447674,-0.0748377912438305,0.781658371142176,136,0.38194117647058823,51.944
L69_center_00008,69,center,ck4,0.9174698042719673,0.9536459298086267,0.4062762501747619,0.30448011492172583,-0.10179613525303605,0.7494410879069404,136,0.38194117647058823,51.944
L69_center_00009,69,center,ck4,0.901153313640909,0.9443568758679045,0.4446272289437324,0.3335959356230092,-0.1110312933207232,0.750282290213103,136,0.38194117647058823,51.944
L69_center_00010,69,center,ck4,0.9288993651096384,0.9444444444444445,0.37709583633437693,0.33333333333333337,-0.04376250300104356,0.8839485913542714,136,0.38194117647058823,51.944
L69_center_00011,69,center,ck4,0.9398255470157901,0.9424819839382048,0.3469133983697076,0.3391696214633471,-0.007743776906360467,0.9776780691009579,136,0.38194117647058823,51.944
L69_center_00012,69,center,ck4,0.9499311980589711,0.9470228904691078,0.3164452620629015,0.325506096812002,0.009060834749100466,1.0286331818970302,136,0.38194117647058823,51.944
L69_center_00013,69,center,ck4,0.9285714285714286,0.9821428571428572,0.37796447300922725,0.18898223650461365,-0.1889822365046136,0.5000000000000001,136,0.38194117647058823,51.944
L69_center_00014,69,center,ck4,0.9265616458263766,0.965060808722445,0.38324497171815186,0.26434519582377486,-0.118899775894377,0.6897551574875744,136,0.38194117647058823,51.944
L69_center_00015,69,center,ck4,0.9208372149683067,0.9495433918790779,0.3979014577296566,0.31766840611216557,-0.08023305161749106,0.7983594931386172,136,0.38194117647058823,51.944
L69_center_00016,69,center,ck4,0.9021739130434785,0.9341223373106984,0.44232586846469146,0.3629811639446371,-0.07934470452005438,0.8206193438438067,136,0.38194117647058823,51.944
L69_center_00017,69,center,ck4,0.9196009797434059,0.9775898005717012,0.40099630984983964,0.21170828717033716,-0.18928802267950248,0.5279556992671957,136,0.38194117647058823,51.944
L69_center_00018,69,center,ck4,0.913630494633974,0.9524241471993242,0.4156188286543954,0.30846670096033324,-0.10715212769406218,0.7421865413533425,136,0.38194117647058823,51.944
L69_center_00019,69,center,ck4,0.9304804031721451,0.9474209111998336,0.3728795967275627,0.32428101640449497,-0.04859858032306774,0.8696668287844793,136,0.38194117647058823,51.944
L69_center_00020,69,center,ck4,0.8979592136361232,0.9023871677239284,0.4517538851274586,0.4418434842250627,-0.009910400902395922,0.9780623892153141,136,0.38194117647058823,51.944
L69_center_00021,69,center,ck4,0.9111111111111112,0.931588505112178,0.4216370213557839,0.3698959174898306,-0.05174110386595332,0.8772851973491831,136,0.38194117647058823,51.944
L69_center_00022,69,center,ck4,0.9274260335029678,0.9557896392964649,0.38098285131231924,0.29735621972151605,-0.08362663159080319,0.7804976489027103,136,0.38194117647058823,51.944
L69_center_00023,69,center,ck4,0.9307448939920691,0.951661902861773,0.37216960114423925,0.31092795673025947,-0.06124164441397978,0.8354469461619334,136,0.38194117647058823,51.944
L69_center_00024,69,center,ck4,0.9120123092652644,0.9434255029341544,0.41949419718211917,0.33637626868090725,-0.08311792850121191,0.8018615536054076,136,0.38194117647058823,51.944
L69_center_00025,69,center,ck4,0.9585413727004499,0.9489075465580898,0.2879535632686286,0.31966374033321343,0.031710177064584844,1.1101225374835968,136,0.38194117647058823,51.944
L69_center_00026,69,center,ck4,0.9147550817044597,0.9636363636363641,0.4129041493992052,0.2696799449852969,-0.14322420441390832,0.6531296558237397,136,0.38194117647058823,51.944
L69_center_00027,69,center,ck4,0.9389586554494065,0.9618600860701236,0.3494033329852303,0.27618802989947494,-0.07321530308575536,0.7904561972542767,136,0.38194117647058823,51.944
L69_center_00028,69,center,ck4,0.9223735693894832,0.9520991470396151,0.39402139690762195,0.3095185065884909,-0.08450289031913105,0.7855373058866072,136,0.38194117647058823,51.944
L69_center_00029,69,center,ck4,0.902096178754389,0.9524241471993239,0.44250157343361185,0.30846670096033313,-0.13403487247327872,0.6970974104493487,136,0.38194117647058823,51.944
L69_center_00030,69,center,ck4,0.9347826086956523,0.9443568758679046,0.36115755925730764,0.3335959356230092,-0.027561623634298427,0.92368531980619,136,0.38194117647058823,51.944
L69_center_00031,69,center,ck4,0.8861862597425677,0.9462912659625486,0.47710321788357757,0.3277460420430778,-0.1493571758404998,0.6869499717418678,136,0.38194117647058823,51.944
L69_center_00032,69,center,ck4,0.9211985401597556,0.9489795918367346,0.3969923420930044,0.3194382824999699,-0.07755405959303446,0.8046459556772365,136,0.38194117647058823,51.944
L69_center_00033,69,center,ck4,0.9158402141598392,0.9491772753284813,0.41026768295872545,0.31881883467423466,-0.09144884828449079,0.7770995569892574,136,0.38194117647058823,51.944
L69_center_00034,69,center,ck4,0.9192388155425117,0.9543602943482987,0.40189845597485996,0.30212482735353363,-0.09977362862132633,0.7517441852835397,136,0.38194117647058823,51.944
L69_center_00035,69,center,ck4,0.9113361601724936,0.9470228904691079,0.4211029323752248,0.325506096812002,-0.09559683556322279,0.772984635789615,136,0.38194117647058823,51.944
L69_center_00036,69,center,ck4,0.8861469461982081,0.9393038202129631,0.47718561127048176,0.3484140633988152,-0.12877154787166656,0.7301436907772239,136,0.38194117647058823,51.944
L69_center_00037,69,center,ck4,0.9462912659625486,0.9497710678640878,0.3277460420430778,0.31695088621397555,-0.010795155829102232,0.9670624372401014,136,0.38194117647058823,51.944
L69_center_00038,69,center,ck4,0.9405943205979292,0.9529998370717017,0.3446902360150943,0.3065947257481726,-0.038095510266921706,0.8894789979915373,136,0.38194117647058823,51.944
L69_center_00039,69,center,ck4,0.9568473758789289,0.9601432184835761,0.2937775489075743,0.2823359046115955,-0.01144164429597877,0.9610533740970845,136,0.38194117647058823,51.944
L69_center_00040,69,center,ck4,0.928840728025648,0.9417632186960223,0.37725130079126845,0.34128223306810973,-0.03596906772315872,0.9046548874776174,136,0.38194117647058823,51.944
L69_center_00041,69,center,ck4,0.9346279536610843,0.9600368491021514,0.3615855260900683,0.2827124012060619,-0.07887312488400638,0.7818686888911597,136,0.38194117647058823,51.944
L69_center_00042,69,center,ck4,0.8861862597425676,0.9446777270080724,0.47710321788357757,0.33263274941571075,-0.14447046846786682,0.6971924249248714,136,0.38194117647058823,51.944
L69_center_00043,69,center,ck4,0.9206923582851388,0.9288347410476046,0.39826534299348904,0.37726717045721103,-0.020998172536278004,0.9472759231861626,136,0.38194117647058823,51.944
L69_center_00044,69,center,ck4,0.9428612791110713,0.9547032697824669,0.3380494664658661,0.30098747554519056,-0.037061990920675525,0.8903651843970066,136,0.38194117647058823,51.944
L69_center_00045,69,center,ck4,0.9453122389509787,0.9626588645246761,0.33071970322017813,0.27328057184997256,-0.057439131370205565,0.8263208063779459,136,0.38194117647058823,51.944
L69_center_00046,69,center,ck4,0.9643178453614716,0.955303924436713,0.2671409913829339,0.2989852021866209,0.03184421080368699,1.119203760676473,136,0.38194117647058823,51.944
