length,representation,representation_label,n_cells,macro_f1_mean,macro_f1_std_mean,accuracy_mean
69,ck4_msp,CK4+MSP,4,0.959936528715995,0.01579239863317047,0.96
69,ck4p_msp,CK4P-MSP,4,0.9594022137127134,0.014282795212273384,0.9595
69,p_msp,P+MSP,4,0.958799309927878,0.01503761451450784,0.959
69,msp,MSP,4,0.9506460479039661,0.015779654861999073,0.9510000000000001
69,ck4_p,CK4+P,4,0.7845270120532896,0.03749942355954846,0.785
69,ck4,CK4,4,0.7605246315488313,0.04255471377047328,0.761
69,p,P,4,0.6261902197118383,0.0522032570670353,0.6275000000000001
100,ck4p_msp,CK4P-MSP,4,0.9819909938151059,0.00632787526182494,0.982
100,ck4_msp,CK4+MSP,4,0.9809891895474553,0.0074154579532370885,0.9810000000000001
100,p_msp,P+MSP,4,0.9749724507025525,0.009415800574221183,0.975
100,msp,MSP,4,0.9704682843663321,0.01253011058135368,0.9704999999999999
100,ck4_p,CK4+P,4,0.9479317166020412,0.018728558587809502,0.948
100,ck4,CK4,4,0.9379059627397558,0.021331434251866118,0.938
100,p,P,4,0.6685126501923685,0.03494038285148136,0.6695
150,ck4p_msp,CK4P-MSP,4,0.9944979485938386,0.006367662390323592,0.9945
150,ck4_msp,CK4+MSP,4,0.9929974984287739,0.007368287684042104,0.9930000000000001
150,ck4_p,CK4+P,4,0.9804746869246488,0.012910813484946937,0.9804999999999999
150,ck4,CK4,4,0.978469374121569,0.015204619569781539,0.9784999999999999
150,p_msp,P+MSP,4,0.9774693449680656,0.012979623834054908,0.9775
150,msp,MSP,4,0.9744443202698199,0.011565766546353926,0.9745
150,p,P,4,0.6225178815218038,0.04086020668045182,0.625
