length,representation,representation_label,n_cells,paired_cosine_mean,l2_delta_mean,retrieval_top1_mean
69,p,P,6,0.9992987398637494,0.026260267684802607,0.2813333333333334
69,p_msp,P+MSP,6,0.9992935120015672,0.031017970154409866,0.9209999999999999
69,msp,MSP,6,0.9992882841393852,0.03197460073464168,0.9296666666666668
69,ck4p_msp,CK4P-MSP,6,0.986209039278315,0.145905501407353,1.0
69,ck4_p,CK4+P,6,0.9796694168477799,0.1768775337695054,1.0
69,ck4_msp,CK4+MSP,6,0.9796641889855978,0.17697945726742012,1.0
69,ck4,CK4,6,0.9600400938318105,0.24767452951446986,0.9996666666666667
75,p,P,6,0.9993946150107118,0.024437597957919412,0.2876666666666667
75,p_msp,P+MSP,6,0.9993907691837123,0.02883806427508903,0.9426666666666667
75,msp,MSP,6,0.9993869233567129,0.02970180084867746,0.9473333333333334
75,ck4p_msp,CK4P-MSP,6,0.9877034162311172,0.13794631339150334,1.0
75,ck4_p,CK4+P,6,0.9818616626683193,0.1672728946720218,1.0
75,ck4_msp,CK4+MSP,6,0.9818578168413197,0.16737436792450724,1.0
75,ck4,CK4,6,0.9643287103259267,0.23429763978617243,1.0
100,msp,MSP,6,0.9995618860017835,0.025311218282399666,0.9666666666666667
100,p,P,6,0.9992881955063572,0.025610363082717,0.293
100,p_msp,P+MSP,6,0.9994250407540703,0.0271434585522343,0.9476666666666667
100,ck4p_msp,CK4P-MSP,6,0.9902965528059254,0.12541802369844285,0.9996666666666667
100,ck4_msp,CK4+MSP,6,0.9858007314557095,0.15169566149253735,0.9996666666666667
100,ck4_p,CK4+P,6,0.9856638862079962,0.15227839117243955,0.9996666666666667
100,ck4,CK4,6,0.9720395769096353,0.21261933044014789,0.9996666666666667
150,msp,MSP,6,0.9997559003733438,0.01907843691317885,0.9886666666666667
150,p_msp,P+MSP,6,0.9996008233665826,0.022154700031663723,0.9556666666666667
150,p,P,6,0.9994457463598215,0.02235351319194476,0.3173333333333333
150,ck4p_msp,CK4P-MSP,6,0.9934079824363531,0.10497060476193842,1.0
150,ck4_msp,CK4+MSP,6,0.9903891004746188,0.12683124291238673,1.0
150,ck4_p,CK4+P,6,0.9902340234678578,0.12764856307367933,1.0
150,ck4,CK4,6,0.9810223005758939,0.17804741189404902,1.0
