representation,representation_label,classifier,n_cells,macro_f1,accuracy,median_features
ckmer5_count_l2,CK5,nearest_centroid,132,0.4073355155985256,0.4240121425237494,507.0
ckmer5_count_l2,CK5,logistic,132,0.3960939968747587,0.42078683734737304,507.0
ck4p_msp,CK4P-MSP,nearest_centroid,132,0.3941340743113095,0.40795482133336547,222.0
ck4_p,CK4+P,nearest_centroid,132,0.3929739531569864,0.406975107853652,147.0
ck4,CK4,nearest_centroid,132,0.39186109167267547,0.40608896031895375,136.0
hash_k15_d222,"Hashed k=15, d=222",logistic,132,0.37860821659625266,0.4034987688748085,222.0
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,132,0.3775064875908251,0.4034376197568305,222.0
ck4p_msp,CK4P-MSP,logistic,132,0.37572067049648233,0.3942539301516151,222.0
ck4_p,CK4+P,logistic,132,0.36363576896757255,0.38231819537995276,147.0
ck4,CK4,logistic,132,0.36271590074097404,0.3823179034703181,136.0
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,132,0.26816067010563177,0.4489352940836327,222.0
rp_ck15_d222,"CK15 random projection, d=222",logistic,132,0.26494416113100844,0.4459817461657354,222.0
